EMPRES-i Plus,,,,,,,,,,,,,,,,,
Date downloaded: 28/09/2023 09:11,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Filters,,,,,,,,,,,,,,,,,
Disease: Influenza - Avian,,,,,,,,,,,,,,,,,
Serotype: H5N1 HPAI,,,,,,,,,,,,,,,,,
Region: Global,,,,,,,,,,,,,,,,,
Diagnosis source: All,,,,,,,,,,,,,,,,,
Diagnosis status: Confirmed,,,,,,,,,,,,,,,,,
Animal type: All,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Event.ID,Disease,Serotype,Region,Subregion,Country,Admin.level.1,Locality,Latitude,Longitude,Diagnosis.source,Diagnosis.status,Animal.type,Species,Observation.date..dd.mm.yyyy.,Report.date..dd.mm.yyyy.,Humans.affected,Human.deaths
361456,Influenza - Avian,H5N1 HPAI,Americas,South America,Brazil,Santa Catarina,Penha,-26.79925,-48.638555,OIE,Confirmed,Wild,Southern Lapwing ,25/08/2023,29/08/2023,,
362640,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,Northern Ireland,North Down and Ards,54.66,-5.67,OIE,Confirmed,Wild,Black Headed Gull (Chroicocephalus Ridibundus),25/08/2023,08/09/2023,,
362643,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Schleswig-Holstein,OB_125005 - 23-015-01160 - FEHMARN,54.41,11.16,OIE,Confirmed,Wild,Swan,24/08/2023,15/09/2023,,
361380,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,Ireland,Wicklow,Barndarrig,52.91,-6.11,OIE,Confirmed,Wild,Peregrin Falcon:falco Peregrinus(Falconidae),22/08/2023,25/08/2023,,
361474,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Emilia-romagna,Rimini,44.05,12.601,OIE,Confirmed,Wild,Common Tern (Sterna Hirundo),22/08/2023,30/08/2023,,
361475,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Emilia-romagna,Cesenatico,44.204,12.402,OIE,Confirmed,Wild,Common Tern (Sterna Hirundo),22/08/2023,30/08/2023,,
361476,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Emilia-romagna,Rimini,44.043,12.609,OIE,Confirmed,Wild,Common Tern (Sterna Hirundo),22/08/2023,30/08/2023,,
361477,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Emilia-romagna,Rimini,44.07544,12.56128,OIE,Confirmed,Wild,Common Tern (Sterna Hirundo),22/08/2023,30/08/2023,,
361457,Influenza - Avian,H5N1 HPAI,Americas,South America,Brazil,Sao Paulo,Ubatuba,-23.4175,-45.0578,OIE,Confirmed,Wild,Cabot's Tern (Thalasseus Acuflavidus),21/08/2023,29/08/2023,,
362454,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Niedersachsen,OB_124647 - 23-015-01157 - THEDINGHAUSEN,52.969991,9.008285,OIE,Confirmed,Wild,Laridae (Unidentified):Laridae (Incognita)(Laridae),21/08/2023,05/09/2023,,
360949,Influenza - Avian,H5N1 HPAI,Europe,Eastern Europe,Hungary,Hajdu-bihar,Balmazújváros,47.636874,21.309662,OIE,Confirmed,Wild,Goose,18/08/2023,22/08/2023,,
361216,Influenza - Avian,H5N1 HPAI,Americas,South America,Brazil,Sao Paulo,OB_124286 - SP_35510090003 - SÃO VICENTE,-23.962211,-46.373978,OIE,Confirmed,Wild,Royal Tern,17/08/2023,23/08/2023,,
361453,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,Svalbard and Jan Mayen Islands,Administrative unit not available,LONGYEARBYEN  SVALBARD,78.222,15.677,OIE,Confirmed,Wild,Black-Legged Kittiwake (Rissa Tridactyla):Laridae-Charadriiformes,17/08/2023,29/08/2023,,
361509,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,Norway,Hordaland,BERGEN,60.925,6.445,OIE,Confirmed,Wild,Herring Gull:larus Argentatus(Laridae),17/08/2023,29/08/2023,,
362642,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Schleswig-Holstein,OB_125006 - 23-015-01161 - HELGOLAND,54.1875,7.8814,OIE,Confirmed,Wild,Laridae (Unidentified):Laridae (Incognita)(Laridae),17/08/2023,15/09/2023,,
363049,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Bretagne,OB_124936 - 20231393 - LE FAOU (29053),48.298225,-4.190879,OIE,Confirmed,Wild,Lesser Black-Backed Gull:larus Fuscus(Laridae),17/08/2023,21/09/2023,,
361218,Influenza - Avian,H5N1 HPAI,Americas,South America,Brazil,Parana,OB_124284 - PR_41182040006 - PARANAGUÁ,-25.504097,-48.531317,OIE,Confirmed,Wild,Cabot's Tern (Thalasseus Acuflavidus),16/08/2023,23/08/2023,,
361305,Influenza - Avian,H5N1 HPAI,Americas,South America,Brazil,Parana,OB_124283 - PR_41182040005 - PARANAGUÁ,-24,-51,OIE,Confirmed,Wild,Cabot's Tern (Thalasseus Acuflavidus),16/08/2023,23/08/2023,,
361510,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,Norway,Hordaland,NYGÅRDSPARKEN  BERGEN,60.925,6.445,OIE,Confirmed,Wild,Black Headed Gull (Chroicocephalus Ridibundus),16/08/2023,29/08/2023,,
361217,Influenza - Avian,H5N1 HPAI,Americas,South America,Brazil,Sao Paulo,OB_124285 - SP_35105000009 - CARAGUATATUBA,-23.617094,-45.387022,OIE,Confirmed,Wild,Royal Tern,15/08/2023,23/08/2023,,
361374,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,England,OB_124310 - WB451 - DRURIDGE BAY  NORTHUMBERLAND,55.29,-1.6,OIE,Confirmed,Wild,Common Murre (Uria Aalge) ,15/08/2023,25/08/2023,,
361030,Influenza - Avian,H5N1 HPAI,Europe,Eastern Europe,Russian Federation,Primorskiy Kray,Novosel'skoe,44.7679,132.7328,OIE,Confirmed,Wild,Anatidae (Incognita),14/08/2023,22/08/2023,,
361219,Influenza - Avian,H5N1 HPAI,Americas,South America,Brazil,Sao Paulo,OB_124259 - SP_35507040003 - SÃO SEBASTIÃO,-23.770277,-45.403611,OIE,Confirmed,Wild,Cabot's Tern (Thalasseus Acuflavidus),13/08/2023,23/08/2023,,
361452,Influenza - Avian,H5N1 HPAI,Europe,Eastern Europe,Russian Federation,Orlovskaya Oblast,Mordvinov Bay,53.266944,37.359444,OIE,Confirmed,Wild,Unspecified Mammal,13/08/2023,28/08/2023,,
361375,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,England,OB_124309 - WB450 - WILSTHORPE  EAST RIDING OF YORKSHIRE,54.05,-0.3,OIE,Confirmed,Wild,Black Headed Gull (Chroicocephalus Ridibundus),12/08/2023,25/08/2023,,
361378,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,England,OB_124304 - WB446 - RADWAY  WARWICKSHIRE,52.11,-1.46,OIE,Confirmed,Wild,Herring Gull:larus Argentatus(Laridae),12/08/2023,25/08/2023,,
361450,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,England,OB_124305 - WB447 - FILEY  NORTH YORKSHIRE,54.166667,-1.333333,OIE,Confirmed,Wild,Common Murre (Uria Aalge) ,12/08/2023,25/08/2023,,
363048,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Bretagne,OB_124974 - 20231396 - PLOUMILLIAU (22226),48.678812,-3.523408,OIE,Confirmed,Wild,Herring Gull:larus Argentatus(Laridae),12/08/2023,21/09/2023,,
361376,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,England,OB_124307 - WB449 - ACCRINGTON  LANCASHIRE,53.75,-2.35,OIE,Confirmed,Wild,Eurasian Sparrowhawk:accipiter Nisus(Accipitridae),11/08/2023,25/08/2023,,
361377,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,England,OB_124306 - WB448 - SEAHAM  DURHAM,54.83,-1.4,OIE,Confirmed,Wild,Black-Legged Kittiwake (Rissa Tridactyla):Laridae-Charadriiformes,11/08/2023,25/08/2023,,
361379,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,Scotland,OB_124268 - WB443 - ULLAPOOL  HIGHLANDS,57.88,-5.16,OIE,Confirmed,Wild,Herring Gull:larus Argentatus(Laridae),11/08/2023,25/08/2023,,
361451,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Belgium,Vlaams Gewest,Zeebrugge,51,3,OIE,Confirmed,Wild,Herring Gull:larus Argentatus(Laridae),11/08/2023,28/08/2023,,
362638,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Schleswig-Holstein,OB_124653 - 23-015-01155 - ELPERSBÜTTEL,54.470038,9.51416,OIE,Confirmed,Wild,Sulids (Sulidae),11/08/2023,05/09/2023,,
361236,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,Finland,Eastern Finland,Mikkeli,61.68697,27.27368,OIE,Confirmed,Wild,Black Headed Gull (Chroicocephalus Ridibundus),10/08/2023,24/08/2023,,
360686,Influenza - Avian,H5N1 HPAI,Americas,South America,Brazil,Parana,Guaraqueçaba,-25.300364,-48.327208,OIE,Confirmed,Wild,Cabot's Tern (Thalasseus Acuflavidus),09/08/2023,15/08/2023,,
363045,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Bretagne,OB_124280 - 20231377 - PLEUMEUR-BODOU (22198),48.803804,-3.58322,OIE,Confirmed,Wild,Herring Gull:larus Argentatus(Laridae),09/08/2023,21/09/2023,,
360683,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,Norway,Sogn og Fjordane,OB_123787 - 2023-07-1876/FU298 - SELJE,62.0391,5.3536,OIE,Confirmed,Wild,Laridae (Unidentified):Laridae (Incognita)(Laridae),08/08/2023,15/08/2023,,
360752,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,Norway,Sogn og Fjordane,BARMØYA,61.91139,6.03722,OIE,Confirmed,Wild,Laridae (Unidentified):Laridae (Incognita)(Laridae),08/08/2023,15/08/2023,,
360754,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,Norway,Hordaland,MÅLØY,60.925,6.445,OIE,Confirmed,Wild,Black-Legged Kittiwake (Rissa Tridactyla):Laridae-Charadriiformes,08/08/2023,15/08/2023,,
360936,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,England,Wilton  Redcar and Cleveland,54.58,-1.1,OIE,Confirmed,Wild,Herring Gull:larus Argentatus(Laridae),08/08/2023,18/08/2023,,
360937,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,England,Askam in Furness  Cumbria,54.19,-3.2,OIE,Confirmed,Wild,Common Murre (Uria Aalge) ,08/08/2023,18/08/2023,,
360946,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Belgium,Vlaams Gewest,OB_124163 - OOSTENDE,51.222515,2.910364,OIE,Confirmed,Wild,Herring Gull:larus Argentatus(Laridae),08/08/2023,21/08/2023,,
361508,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,Scotland,OB_124270 - WB444 - STORNOWAY  WESTERN ISLES,58.209,-6.387,OIE,Confirmed,Wild,Mew Gull (Larus Canus),08/08/2023,25/08/2023,,
362568,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Schleswig-Holstein,OB_124652 - 23-015-01149 - KIEL,54.31,10.15,OIE,Confirmed,Wild,Laridae (Unidentified):Laridae (Incognita)(Laridae),08/08/2023,05/09/2023,,
360756,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,Latvia,Ventspils,Varves Parish,57.383333,21.55,OIE,Confirmed,Wild,Common Murre (Uria Aalge) ,07/08/2023,15/08/2023,,
360756,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,Latvia,Ventspils,Varves Parish,57.383333,21.55,OIE,Confirmed,Wild,Razorbill (Alca Torda):Alcidae-Charadriiformes,07/08/2023,15/08/2023,,
360947,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Belgium,Vlaams Gewest,OB_124162 - DE HAAN,51.277843,3.034053,OIE,Confirmed,Wild,Black-Legged Kittiwake (Rissa Tridactyla):Laridae-Charadriiformes,07/08/2023,21/08/2023,,
360948,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Belgium,Vlaams Gewest,OB_124161 - DE HAAN,51.31205,3.108437,OIE,Confirmed,Wild,Northern Gannet:morus Bassanus(Sulidae),07/08/2023,21/08/2023,,
